m1_surv,m2_surv
0.57094,0.91417
0.57094,0.91417
0.57094,0.91417
0.57094,0.91417
0.57094,0.91417
0.56976,0.91417
0.56976,0.91417
0.56976,0.91417
0.56976,0.91417
0.56976,0.91417
0.56897,0.91417
0.56599,0.91417
0.56563,0.91417
0.56563,0.91386
0.56465,0.91386
0.56465,0.91386
0.56465,0.91386
0.56465,0.91386
0.56416,0.91386
0.56358,0.91355
0.56237,0.91355
0.56237,0.91355
0.56237,0.91355
0.56237,0.91355
0.56169,0.91355
0.56074,0.91355
0.56006,0.91355
0.55983,0.91355
0.55983,0.91355
0.55934,0.91355
0.55934,0.91355
0.55934,0.91355
0.55934,0.91355
0.55934,0.91355
0.55934,0.91324
0.55889,0.91324
0.55889,0.91324
0.55889,0.91324
0.5584,0.91324
0.5584,0.91324
0.55728,0.91293
0.55728,0.91293
0.55728,0.91293
0.55682,0.91293
0.55682,0.91293
0.55682,0.91293
0.55682,0.91262
0.55624,0.91262
0.55624,0.91262
0.55624,0.9123
0.55624,0.9123
0.55624,0.9123
0.55624,0.9123
0.55624,0.91199
0.55624,0.91199
0.55584,0.91199
0.55552,0.91199
0.55552,0.91199
0.55026,0.91199
0.55026,0.91199
0.54873,0.91199
0.54873,0.91199
0.54873,0.91199
0.54873,0.91199
0.54873,0.91199
0.54873,0.91199
0.54687,0.91199
0.54573,0.91199
0.54573,0.91199
0.54573,0.91199
0.54471,0.91199
0.54471,0.91199
0.54471,0.91199
0.54471,0.91168
0.54471,0.91168
0.54471,0.91168
0.54471,0.91168
0.54444,0.91105
0.54444,0.91105
0.54444,0.91105
0.54444,0.91074
0.54444,0.91074
0.54377,0.91074
0.54377,0.91074
0.54377,0.91043
0.54377,0.91043
0.54377,0.91043
0.54377,0.91043
0.54291,0.91043
0.54291,0.91043
0.54291,0.91043
0.54252,0.91043
0.54252,0.91043
0.54252,0.91043
0.54219,0.91043
0.54177,0.91043
0.54177,0.91043
0.54177,0.91043
0.54177,0.91011
0.54177,0.9098
0.54177,0.9098
0.54177,0.9098
0.54043,0.9098
0.47555,0.9098
0.47555,0.9098
0.47555,0.9098
0.47555,0.90948
0.47555,0.90948
0.47399,0.90916
0.47274,0.90885
0.47274,0.90853
0.47187,0.90853
0.47187,0.9079
0.47187,0.9079
0.47187,0.9079
0.47187,0.9079
0.47141,0.9079
0.47141,0.9079
0.47141,0.9079
0.47141,0.9079
0.47141,0.9079
0.47141,0.9079
0.47141,0.9079
0.47141,0.9079
0.47141,0.9079
0.47141,0.9079
0.47141,0.9079
0.47141,0.9079
0.47141,0.9079
0.47141,0.9079
0.46925,0.9079
0.46824,0.9079
0.46824,0.90758
0.46824,0.90758
0.46824,0.90758
0.46786,0.90758
0.46786,0.90694
0.46786,0.90694
0.46786,0.90662
0.46786,0.90662
0.46786,0.90662
0.46786,0.90662
0.46786,0.90662
0.46786,0.90662
0.46708,0.90662
0.46415,0.90662
0.46415,0.90662
0.46415,0.90662
0.46314,0.90662
0.46314,0.90662
0.46314,0.90662
0.46314,0.90662
0.46314,0.90662
0.46314,0.90662
0.46314,0.9063
0.46314,0.9063
0.46314,0.90598
0.46206,0.90598
0.46166,0.90598
0.46113,0.90598
0.46033,0.90598
0.46033,0.90566
0.46033,0.90534
0.46033,0.90534
0.45969,0.90502
0.45969,0.90502
0.45969,0.90502
0.45435,0.90502
0.45435,0.90502
0.45435,0.90502
0.45435,0.90502
0.45435,0.90502
0.45435,0.90502
0.45435,0.90502
0.45435,0.90502
0.45398,0.90502
0.45369,0.90502
0.45287,0.90502
0.45287,0.90502
0.45287,0.9047
0.45287,0.9047
0.45287,0.9047
0.45287,0.9047
0.45287,0.90437
0.45287,0.90437
0.44988,0.90405
0.44988,0.90405
0.44988,0.90405
0.44988,0.90372
0.44988,0.90372
0.44988,0.90372
0.44988,0.9034
0.44988,0.9034
0.44988,0.9034
0.44954,0.90307
0.35342,0.90307
0.35342,0.90307
0.35342,0.90307
0.35342,0.90307
0.35152,0.90307
0.35152,0.90274
0.35152,0.90274
0.34934,0.90274
0.34934,0.90241
0.34934,0.90241
0.34934,0.90241
0.34934,0.90241
0.34934,0.90241
0.34934,0.90241
0.34934,0.90241
0.34934,0.90241
0.34714,0.90241
0.34714,0.90241
0.34714,0.90241
0.34714,0.90241
0.34714,0.90241
0.34714,0.90241
0.34714,0.90207
0.34714,0.90207
0.34714,0.90174
0.34714,0.90174
0.3453,0.90174
0.3453,0.90174
0.34273,0.90174
0.34143,0.90174
0.34143,0.90174
0.33828,0.90174
0.33828,0.90174
0.33828,0.90174
0.33828,0.90174
0.33828,0.90174
0.33504,0.90174
0.33504,0.90174
