m1_surv,m2_surv
0.75553,0.9366
0.75553,0.9366
0.75267,0.9366
0.75267,0.9366
0.75004,0.9366
0.74629,0.9366
0.74629,0.9366
0.74629,0.9366
0.74629,0.9366
0.74324,0.9366
0.74324,0.9366
0.74324,0.9366
0.74004,0.9366
0.74004,0.9366
0.74004,0.9366
0.74004,0.9366
0.74004,0.9366
0.74004,0.9351
0.74004,0.9351
0.74004,0.9351
0.74004,0.9351
0.74004,0.9351
0.74004,0.9351
0.74004,0.9351
0.74004,0.9351
0.74004,0.9351
0.74004,0.9351
0.74004,0.9351
0.74004,0.9351
0.74004,0.9351
0.73759,0.93358
0.73759,0.93358
0.73759,0.93204
0.73759,0.93204
0.73759,0.93204
0.73759,0.93049
0.73759,0.93049
0.73759,0.93049
0.73759,0.93049
0.73239,0.93049
0.73239,0.93049
0.73239,0.93049
0.73239,0.93049
0.7299,0.93049
0.7299,0.93049
0.7299,0.93049
0.7299,0.93049
0.7299,0.93049
0.7299,0.92893
0.7299,0.92893
0.7299,0.92893
0.7299,0.92736
0.7299,0.92736
0.7299,0.92736
0.7299,0.92736
0.72666,0.92736
0.72324,0.92736
0.72324,0.92736
0.72324,0.92736
0.72324,0.92736
0.72324,0.92736
0.72324,0.92736
0.72324,0.92576
0.72324,0.92576
0.72324,0.92576
0.72324,0.92576
0.72324,0.92576
0.72324,0.92576
0.72324,0.92576
0.71849,0.92576
0.71849,0.92576
0.71849,0.92576
0.71849,0.92576
0.71509,0.92576
0.71509,0.92576
0.71509,0.92576
0.71509,0.92576
0.71509,0.92576
0.71509,0.92576
0.71509,0.92576
0.71509,0.92576
0.71509,0.92576
0.71509,0.92576
0.71509,0.92576
0.71509,0.92576
0.71509,0.92576
0.71509,0.92576
0.71509,0.92576
0.71509,0.92576
0.71509,0.92576
0.71509,0.92576
0.71509,0.92413
0.71509,0.92413
0.71509,0.92413
0.71509,0.92413
0.71509,0.92413
0.71509,0.92413
0.71509,0.92413
0.71509,0.92413
0.71509,0.92413
0.71509,0.9225
0.71509,0.9225
0.71509,0.9225
0.71509,0.92086
0.71509,0.92086
0.71509,0.92086
0.71509,0.91921
0.71509,0.91921
0.71509,0.91921
0.71509,0.91921
0.71509,0.91921
0.71265,0.91921
0.71265,0.91921
0.70724,0.91921
0.70469,0.91921
0.69824,0.91921
0.69824,0.91921
0.69824,0.91921
0.69441,0.91921
0.69441,0.91921
0.69441,0.91921
0.69441,0.91921
0.69441,0.91921
0.69441,0.91921
0.69441,0.91921
0.69441,0.91921
0.69441,0.91921
0.69441,0.91921
0.69202,0.91921
0.69202,0.91921
0.69202,0.91921
0.69202,0.91921
0.69202,0.91921
0.69202,0.91921
0.69202,0.91921
0.69202,0.91921
0.69202,0.91921
0.69202,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.68992,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
